WKT,osm_id,name,type,population
"POINT (18.3606106 54.3449165)",24589888,Żukowo,town,6236
"POINT (18.4453576 54.0715335)",24617077,Skarszewy,town,6805
"POINT (18.2022852 54.1332728)",24922885,Nowa Karczma,village,792
"POINT (18.1600924 54.1205115)",24974788,Luban,village,1000
"POINT (18.1163566 54.1202963)",24974789,Będomin,village,150
"POINT (18.0738956 54.1245355)",24974790,Maly Klincz,village,308
"POINT (18.0331396 54.1243401)",24974791,Nowy Klincz,village,586
"POINT (17.9780358 54.1221262)",24974807,Kościerzyna,town,26717
"POINT (18.0158493 54.1383659)",24974808,Koscierska Huta,village,308
"POINT (18.0411972 54.1647301)",24974809,Kaliska,village,220
"POINT (18.0989878 54.1851818)",24974810,Klobuczyno,village,490
"POINT (18.1687952 54.1840219)",24978475,Grabowska Huta,village,74
"POINT (18.1701788 54.1643533)",24978477,Grabowo,village,0
"POINT (18.2034436 54.2395901)",24981915,Egiertowo,village,600
"POINT (18.2033984 54.3306229)",24981918,Kartuzy,town,15101
"POINT (18.2335297 54.2546583)",24997037,Hopowo,village,346
"POINT (18.2900343 54.272001)",24997038,Borcz,village,510
"POINT (18.3103607 54.2992739)",24997040,Babi Dol,village,0
"POINT (18.3626661 54.3720393)",24997042,Malkowo,village,390
"POINT (18.3601768 54.3889849)",24997044,Miszewo,village,290
"POINT (18.4094018 54.3915876)",24997045,Bonino,village,0
"POINT (18.4261849 54.3859299)",24997047,Rebiechowo,village,463
"POINT (21.55 49.4166667)",26035738,Havranec,hamlet,10
"POINT (21.75 49.3666667)",26035947,Príkra,hamlet,8
"POINT (21.6166667 49.4)",26037192,Vyšná Pisaná,hamlet,82
"POINT (21.7166667 49.4)",26037588,Vyšný Komárnik,hamlet,73
"POINT (21.1 49.4166667)",26037638,Lacková,hamlet,173
"POINT (21.7 49.3833333)",26037737,Nižný Komárnik,hamlet,147
"POINT (21.65 49.4)",26037937,Krajná Porúbka,hamlet,53
"POINT (21.6333333 49.4166667)",26037982,Šarbov,hamlet,11
"POINT (21.6833333 49.3833333)",26038305,Krajná Bystrá,village,331
"POINT (19.025852 52.0976954)",26347356,Polska,country,0
"POINT (18.5319159 53.9673849)",26378871,Starogard Gdanski,town,48189
"POINT (18.6663745 54.349442)",26432122,Gdańsk,city,455717
"POINT (18.5421826 54.5206073)",26432430,Gdynia,city,249787
"POINT (17.5665066 53.6997658)",26432853,Chojnice,town,39852
"POINT (15.0960671 52.0528916)",26433204,Krosno Odrzańskie,town,12000
"POINT (14.562709 52.3537144)",26433240,Słubice,town,16826
"POINT (18.4629094 54.0936317)",26488579,Kamierowo,village,221
"POINT (18.4562558 54.105584)",26488582,Kamierowskie Piece,village,281
"POINT (17.4909056 54.1703214)",26552879,Bytow,town,14488
"POINT (14.5526526 53.4296143)",26553042,Szczecin,city,408583
"POINT (15.5039925 51.9386231)",26553051,Zielona Góra,city,117406
"POINT (19.7858 50.0773)",26608624,John Paul II International Airport Kraków-Balic,airport,0
"POINT (16.9097845 52.4098565)",27161819,Poznań,city,500000
"POINT (21.0072435 52.2319982)",27172026,Warszawa,city,1707983
"POINT (14.610109 53.8500983)",27272586,Wolin,town,4916
"POINT (14.7733654 53.9634334)",27272766,Kamień Pomorski,town,9129
"POINT (21.0249705 52.0738301)",28396171,Piaseczno,town,38104
"POINT (18.676248 50.3009395)",28900665,Gliwice,city,196968
"POINT (18.8552748 50.4440259)",29072095,Tarnowskie Góry,town,61642
"POINT (18.9602019 50.2986043)",29573582,Chorzów,city,113469
"POINT (19.0612021 50.2239046)",29574067,Giszowiec,village,188
"POINT (18.9808375 50.2143364)",29574068,Piotrowice,suburb,0
"POINT (19.000495 50.2740582)",29574303,Katowice Dąb,village,0
"POINT (18.7371484 49.7331409)",29744661,Goleszów,village,4045
"POINT (20.7738459 52.3054353)",29793177,Truskaw,village,1400
"POINT (22.5702794 51.248057)",30014556,Lublin,city,351345
"POINT (19.4054576 51.8560091)",30092865,Zgierz,town,0
"POINT (19.4808473 52.0706251)",30093005,Piątek,town,2130
"POINT (19.4488373 51.9852297)",30093007,Gieczno,village,270
"POINT (19.4496219 51.9758941)",30093008,Rogoźno,village,0
"POINT (19.4576969 51.7652951)",30094969,Łódź,city,750125
"POINT (18.7946687 54.0930387)",30116761,Tczew,town,60207
"POINT (17.3708715 53.6662708)",30301803,Człuchów,town,14517
"POINT (17.8599099 53.5884311)",30301919,Tuchola,town,13600
"POINT (14.4333647 53.2497572)",30347172,Mescherin,village,800
"POINT (14.4391914 53.3358745)",30347365,Kołbaskowo,village,410
"POINT (19.937731 50.061791)",30375885,Kraków,city,800000
"POINT (19.7087976 52.5435017)",30776986,Płock,city,126807
"POINT (18.213512 54.0528862)",30979740,Orle,village,840
"POINT (17.9988353 54.7876819)",30979791,Wierzchucino,village,1536
"POINT (18.2325143 54.0814247)",30980104,Liniewo,village,1052
"POINT (18.5106659 54.7590342)",30981796,Chałupy,village,376
"POINT (18.0608086 54.0984408)",30982420,Wielki Klincz,village,1960
"POINT (17.5666667 53.6666667)",31129803,Angowice,village,239
"POINT (17.5333333 53.6833333)",31134124,Szenfeld,village,0
"POINT (17.2666667 53.7166667)",31134132,Stołczno,village,162
"POINT (17.4289814 53.6848749)",31134139,Rychnowy,village,611
"POINT (17.4 53.75)",31134146,Polnica,village,881
"POINT (17.2666667 53.7333333)",31134153,Pawłówko,village,405
"POINT (17.3 53.6833333)",31134159,Nowosiółki,village,54
"POINT (17.5 53.7)",31134165,Nieżywięć,village,391
"POINT (17.3336524 53.6836397)",31134174,Kołdowo,village,446
"POINT (17.4 53.7)",31134177,Kiełpin,village,175
"POINT (17.4 53.6666667)",31134184,Ględowo,village,667
"POINT (17.2666667 53.7)",31134192,Dobojewo,village,209
"POINT (17.4333333 53.7333333)",31134208,Czarnoszyce,village,97
"POINT (17.55 53.75)",31134217,Chojniczki,village,527
"POINT (17.5166667 53.7333333)",31134232,Charzykowy,village,940
"POINT (17.4833333 53.6666667)",31134242,Brzeźno,village,258
"POINT (20.8153253 52.2929405)",31156369,Izabelin,village,226
"POINT (23.4844585 50.9156841)",31158092,Nowy Majdan,village,0
"POINT (23.8881381 50.8056405)",31158635,Hrubieszów,town,18660
"POINT (20.8483248 52.2937522)",31158871,Laski,village,2100
"POINT (20.8727578 52.2881594)",31158872,Mościska,village,500
"POINT (20.8792422 51.1188911)",31174958,Skarżysko-Kamienna,town,48
"POINT (20.7291715 52.3903236)",31215717,Czosnów,village,420
"POINT (20.7765795 52.3700571)",31215719,Palmiry,village,220
"POINT (18.0000757 53.1292335)",31337673,Bydgoszcz,city,360142
"POINT (16.0674062 53.9914944)",31345219,Zyletkowo,village,0
"POINT (16.7166667 54.0333333)",31345220,Żydowo,village,1000
"POINT (14.9 53.7)",31345221,Żychlikowo,village,0
"POINT (15.7961853 53.9843101)",31345222,Zwartowo,village,92
"POINT (17.1833333 54.5666667)",31345223,Żoruchowo,village,574
"POINT (16.8 53.6666667)",31345224,Żółtnica,village,590
"POINT (16.7166667 54.5166667)",31345225,Złakowo,village,193
"POINT (16.4833333 54.4333333)",31345228,Zielnowo,village,71
"POINT (17.1 54.2333333)",31345229,Zielin,village,484
"POINT (15.2 53.9333333)",31345230,Zielin,village,0
"POINT (15.5617384 54.147673)",31345231,Zieleniewo,village,1100
"POINT (16.6166667 54.2333333)",31345232,Zielenica,village,80
"POINT (17.2166667 54.5666667)",31345235,Zgojewo,village,150
"POINT (15.25 53.7333333)",31345236,Żerzyno,village,0
"POINT (17.2 54.5833333)",31345237,Żelkowo,village,280
"POINT (17.0833333 54.3333333)",31345240,Żelkówko,village,0
"POINT (17.0666667 54.3333333)",31345241,Żelki,village,58
"POINT (15.9833333 54.0666667)",31345242,Żelimucha,village,93
"POINT (16.933326 54.2166646)",31345243,Żelice,village,60
"POINT (16.05 54.05)",31345244,Zeleźno,village,214
"POINT (17.25 54.65)",31345247,Żelazo,village,312
"POINT (16.2166667 54.05)",31345248,Zegrze Pomorskie,village,430
"POINT (16.6 54.2666667)",31345249,Zegocino,village,210
"POINT (16.8666667 54.45)",31345250,Zębowo,village,150
"POINT (17.2166667 53.7666667)",31345262,Zawada,village,88
"POINT (15.1333333 53.7833333)",31345264,Zatocze,village,0
"POINT (16.2 54.0166667)",31345265,Zaspy Wielkie,village,175
"POINT (16.15 54.0333333)",31345266,Zaspy Małe,village,91
"POINT (15.1666667 54.0666667)",31345272,Zapolice,village,81
"POINT (17.15 53.9166667)",31345275,Załęze,village,78
"POINT (16.7666667 54.5166667)",31345276,Zaleskie,village,400
"POINT (16.4666667 54.45)",31345277,Zakrzewo,village,201
"POINT (17.0 54.3833333)",31345278,Zajączkowo,village,0
"POINT (17.1833333 54.4666667)",31345284,Zagórzyca,village,287
"POINT (15.8403023 53.9683588)",31345285,Zagórze,village,136
"POINT (16.9333333 54.3333333)",31345286,Zagorki,village,0
"POINT (15.629888 54.0874047)",31345287,Ząbrowo,village,0
"POINT (15.5944832 53.8466055)",31345288,Ząbrowo,village,0
"POINT (15.1833333 53.7166667)",31345289,Żabowo,village,0
"POINT (15.2 53.7166667)",31345293,Żabówko,village,0
"POINT (16.9666667 54.5833333)",31345294,Wytowno,village,360
"POINT (15.2333333 53.75)",31345295,Wyszogóra,village,0
"POINT (16.3589174 54.1114713)",31345296,Wyszewo,village,0
"POINT (16.3308554 54.1481798)",31345297,Wyszebórz,village,0
"POINT (14.8342077 53.8175105)",31345305,Wysoka Kamieńska,village,1200
"POINT (17.0333333 53.6833333)",31345306,Wyczechy,village,842
"POINT (16.5833333 54.4833333)",31345307,Wszedzien,village,0
"POINT (15.8168272 54.1151853)",31345310,Wrzosowo,village,0
"POINT (16.7666667 54.4)",31345311,Wrześnica,village,760
"POINT (17.1 54.5333333)",31345312,Wrzeście,village,405
"POINT (16.8833333 54.35)",31345316,Wrząca,village,498
"POINT (15.644265 53.6975732)",31345329,Worowo,village,0
"POINT (15.15 53.7666667)",31345341,Wołowiec,village,0
"POINT (15.1333333 53.7666667)",31345343,Wołczenica,village,0
"POINT (16.3833333 53.9833333)",31345344,Wojęcino,village,90
"POINT (16.8666667 54.55)",31345347,Wodnica,village,346
"POINT (17.0 54.5166667)",31345348,Włynkowo,village,400
"POINT (15.7435278 54.0879081)",31345352,Włościbórz,village,310
"POINT (14.9166667 53.7833333)",31345355,Włodzisław,village,0
"POINT (15.2166667 54.0833333)",31345361,Włodarka,village,226
"POINT (17.2333333 54.6166667)",31345370,Witkowo,village,40
"POINT (15.1 53.9166667)",31345371,Wilczkowo,village,65
"POINT (15.7781856 53.7272679)",31345372,Wilczkowo,village,0
"POINT (17.1333333 54.55)",31345373,Wiklino,village,200
"POINT (16.6666667 54.0666667)",31345374,Wietrzno,village,100
"POINT (17.1333333 54.45)",31345375,Wieszyno,village,270
"POINT (15.1166667 53.75)",31345378,Wierzchy,village,150
"POINT (16.6 53.85)",31345379,Wierzchowo,village,0
"POINT (15.9666667 54.1666667)",31345380,Wierzchomino,village,0
"POINT (15.9666667 54.1833333)",31345381,Wierzchominko,village,0
"POINT (17.25 54.6166667)",31345382,Wierzchocino,village,221
"POINT (15.6333333 53.9833333)",31345383,Wierzbka Górna,village,0
"POINT (17.2 54.2666667)",31345386,Wierszyno,village,189
"POINT (16.3 54.2833333)",31345388,Wierciszewo,village,356
"POINT (17.15 54.4666667)",31345389,Wielogłowy,village,160
"POINT (16.7333333 54.1666667)",31345390,Wielin,village,0
"POINT (16.438928 53.8011739)",31345391,Wielawino,village,220
"POINT (16.3166667 53.8666667)",31345392,Wielanowo,village,110
"POINT (16.3666667 54.2833333)",31345393,Wiekowo,village,212
"POINT (15.7877653 53.6811822)",31345394,Więcław,village,0
"POINT (15.5799345 54.1600378)",31345403,Budzistowo,village,420
"POINT (16.9666667 54.4166667)",31345404,Widzino,village,535
"POINT (16.6 54.55)",31345405,Wicko Morskie,village,55
"POINT (15.3833333 53.8833333)",31345410,Wicimice,village,0
"POINT (16.1298909 53.8883269)",31345412,Wicewo,village,190
"POINT (17.0833333 54.1333333)",31345413,Wiatrołom,village,63
"POINT (16.4 53.95)",31345414,Wełdkowo,village,51
"POINT (15.1833333 54.0)",31345444,Węgorzyn,village,0
"POINT (16.35 54.1833333)",31345445,Węgorzewo Koszalińskie,village,299
"POINT (15.6666667 54.0)",31345446,Wartkowo,village,0
"POINT (16.7166705 54.3666624)",31345447,Warszkowo,village,1107
"POINT (15.95 54.1333333)",31345448,Warnino,village,0
"POINT (16.35 53.95)",31345449,Warnino,village,196
"POINT (16.8573985 54.2228431)",31345450,Warcino,village,450
"POINT (17.1666667 54.4166667)",31345451,Warblewo,village,267
