WKT,osm_id,name,type
"POINT (20.9778386 52.2531519)",100,Kościół Świętego Karola Boromeusza,place_of_worship
"POINT (19.9475665 50.0664422)",20841771,Kraków Główny,station
"POINT (14.9908097 51.1450574)",25627083,,traffic_signals
"POINT (21.0238423 52.0810873)",26063715,,traffic_signals
"POINT (21.0186162 52.0977714)",26063723,,traffic_signals
"POINT (21.0174441 52.152759)",26063726,,traffic_signals
"POINT (21.0191145 52.0876907)",26063734,,crossing
"POINT (21.0224548 52.074963)",26083888,,traffic_signals
"POINT (21.0190238 52.0879345)",26083903,,traffic_signals
"POINT (21.0268568 52.15117)",26083926,,traffic_signals
"POINT (21.027214 52.1619814)",26083937,,traffic_signals
"POINT (21.0022372 52.1749953)",26083951,,crossing
"POINT (21.0231312 52.1518819)",26118465,,crossing
"POINT (21.0068467 52.2105449)",26118474,,traffic_signals
"POINT (21.0023535 52.1832864)",26118488,,traffic_signals
"POINT (21.0198952 52.173293)",26118676,,traffic_signals
"POINT (21.0211427 52.1798654)",26118682,,traffic_signals
"POINT (21.0134687 52.1959533)",26118687,,traffic_signals
"POINT (21.006051 52.213123)",26118696,,traffic_signals
"POINT (21.0046214 52.2230238)",26118697,,traffic_signals
"POINT (21.0084217 52.1702372)",26118710,,crossing
"POINT (21.008231 52.0567528)",26161087,,traffic_signals
"POINT (21.0021769 52.1889011)",26195346,,traffic_signals
"POINT (21.0025837 52.1779646)",26195390,,traffic_signals
"POINT (21.0047771 52.2201394)",26195424,,traffic_signals
"POINT (21.01786 52.2126993)",26195454,,traffic_signals
"POINT (20.9929336 52.1968856)",26195478,,traffic_signals
"POINT (20.9883844 52.1977097)",26195485,,traffic_signals
"POINT (21.0178508 52.152904)",26195490,,traffic_signals
"POINT (21.0171899 52.153299)",26195537,,crossing
"POINT (21.0021773 52.1953644)",26308848,,traffic_signals
"POINT (21.007418 52.1889615)",26308862,,traffic_signals
"POINT (18.992196 50.2720312)",26310272,,traffic_signals
"POINT (20.9928465 52.1966328)",26311030,,traffic_signals
"POINT (21.0195379 52.088042)",26346699,,crossing
"POINT (21.0193111 52.087994)",26350101,,traffic_signals
"POINT (21.0194063 52.0877617)",26350105,,crossing
"POINT (21.0241225 52.0811578)",26350110,,traffic_signals
"POINT (18.5305654 53.9719362)",26378624,,traffic_signals
"POINT (18.52905 53.9699667)",26378626,,mini_roundabout
"POINT (21.0177819 52.1323716)",26385831,,traffic_signals
"POINT (21.0022904 52.1854638)",26386056,,traffic_signals
"POINT (21.0019058 52.185568)",26386057,,traffic_signals
"POINT (21.0019946 52.183285)",26386058,,traffic_signals
"POINT (21.0019823 52.1781827)",26386059,,traffic_signals
"POINT (21.0019899 52.1783704)",26386060,,traffic_signals
"POINT (21.0025296 52.1749911)",26386066,,traffic_signals
"POINT (21.0050558 52.1715886)",26386075,,traffic_signals
"POINT (21.0082797 52.1700958)",26386076,,crossing
"POINT (21.0052439 52.1717109)",26386083,,traffic_signals
"POINT (21.0202098 52.1833703)",26386092,,traffic_signals
"POINT (20.9937779 52.1798847)",26386093,,crossing
"POINT (19.0260881 50.2006215)",26394541,,level_crossing
"POINT (21.0174606 52.1529606)",26405552,,traffic_signals
"POINT (21.0201653 52.1732489)",26405554,,traffic_signals
"POINT (21.0181373 52.1322927)",26405568,,traffic_signals
"POINT (21.0179193 52.1277219)",26405569,,traffic_signals
"POINT (21.0182479 52.1277192)",26405571,,traffic_signals
"POINT (21.0221275 52.0767153)",26418502,,traffic_signals
"POINT (18.18445 54.1285)",26457232,,bus_stop
"POINT (18.1620833 54.1211)",26457256,,bus_stop
"POINT (18.1612333 54.1208167)",26457257,,bus_stop
"POINT (18.1365667 54.1195333)",26457298,,bus_stop
"POINT (18.114 54.1199)",26457322,,bus_stop
"POINT (18.1121333 54.1201)",26457324,,bus_stop
"POINT (18.0901833 54.1225167)",26457386,,bus_stop
"POINT (18.0605 54.1252833)",26457423,,bus_stop
"POINT (18.0353833 54.1245667)",26457450,,bus_stop
"POINT (17.9872333 54.12355)",26457519,,traffic_signals
"POINT (21.0123852 52.1743332)",26458747,,traffic_signals
"POINT (21.0027774 52.1780015)",26458748,,crossing
"POINT (21.0140323 52.1798255)",26458756,,traffic_signals
"POINT (20.9905251 52.1805662)",26458758,,traffic_signals
"POINT (21.0471686 52.1901425)",26485612,,traffic_signals
"POINT (21.0452324 52.1919128)",26485613,,traffic_signals
"POINT (21.031053 52.2067543)",26485616,,traffic_signals
"POINT (21.0257759 52.2094655)",26485618,,crossing
"POINT (21.0218782 52.2134019)",26485622,,traffic_signals
"POINT (21.0214784 52.2138325)",26485625,,traffic_signals
"POINT (21.0212418 52.1792485)",26485651,,traffic_signals
"POINT (21.0204053 52.1833651)",26485664,,traffic_signals
"POINT (21.0147463 52.2182553)",26485670,,traffic_signals
"POINT (21.0151143 52.2180203)",26485673,,traffic_signals
"POINT (18.4475657 54.0723005)",26488644,,place_of_worship
"POINT (18.4542449 54.0695388)",26488645,,fuel
"POINT (18.4510225 54.0736383)",26488648,,grave_yard
"POINT (18.4426168 54.076788)",26488650,,grave_yard
"POINT (20.9972918 52.1793223)",26515323,,traffic_signals
"POINT (20.9906225 52.1807457)",26515496,,traffic_signals
"POINT (20.9789337 52.1832868)",26515507,,traffic_signals
"POINT (20.9785456 52.1833894)",26515509,,traffic_signals
"POINT (20.9786845 52.1837847)",26515511,,traffic_signals
"POINT (19.0095111 50.2472595)",26582088,,motorway_junctio
"POINT (21.0355644 52.0764849)",26772718,,traffic_signals
"POINT (21.0362085 52.0670329)",26772725,,traffic_signals
"POINT (21.018884 52.0978504)",26781713,,traffic_signals
"POINT (17.9025 53.336944)",26860235,Ängby,camp_site
"POINT (18.2774945 50.9647227)",26860238,Bąkow,camp_site
"POINT (15.593333 54.181389)",26860240,Baltic,camp_site
"POINT (15.425278 54.160278)",26860242,Biala Mewa,camp_site
"POINT (14.8031999 54.0359483)",26860244,Bialy Dom,camp_site
"POINT (21.808056 54.021944)",26860246,Borowo,camp_site
"POINT (18.266111 54.313889)",26860248,Burczykas,camp_site
"POINT (19.626389 49.578611)",26860250,Camp-Cup,camp_site
"POINT (19.2105536 49.7191683)",26860252,Cest La Vie,camp_site
"POINT (21.503611 53.868056)",26860254,Christian,camp_site
"POINT (15.338889 52.350278)",26860257,de Kroon,camp_site
"POINT (19.0225 49.781389)",26860259,Debowcem,camp_site
"POINT (21.776667 53.9675)",26860262,Echo,camp_site
"POINT (18.489167 54.765556)",26860265,Ekolaguna,camp_site
"POINT (21.5559492 53.7394678)",26860269,Galindia,camp_site
"POINT (22.527222 51.191944)",26860271,Graf-Marina,camp_site
"POINT (19.985 49.324167)",26860273,Harenda,camp_site
"POINT (18.878889 49.64)",26860277,dlo,camp_site
"POINT (21.56 53.844444)",26860280,Kama,camp_site
"POINT (18.5555536 54.4613852)",26860281,Kemping nr 19,camp_site
"POINT (18.456825 54.7772739)",26860282,Kaper,camp_site
"POINT (19.892778 49.9625)",26860286,Korona,camp_site
"POINT (19.925278 50.015556)",26860287,Krakowianka,camp_site
"POINT (21.547222 53.703333)",26860290,Kruska,camp_site
"POINT (16.239993 51.1422246)",26860292,Legnickie Pole,camp_site
"POINT (14.872222 52.690556)",26860294,Lesne,camp_site
"POINT (17.847222 51.510278)",26860295,Lido,camp_site
"POINT (21.2075 53.84)",26860297,Lorsby,camp_site
"POINT (19.0394428 54.047501)",26860299,Malbork,camp_site
"POINT (16.9834908 52.4039851)",26860300,Malta,camp_site
"POINT (16.880833 54.576667)",26860303,Morski,camp_site
"POINT (19.502778 51.815833)",26860306,Na Rogach,camp_site
"POINT (19.978611 51.475278)",26860309,Nr.125,camp_site
"POINT (19.1175 54.341944)",26860310,Nr.159,camp_site
"POINT (20.988056 50.023056)",26860312,Nr.202,camp_site
"POINT (19.048056 50.243611)",26860314,Nr.215,camp_site
"POINT (17.689444 50.1375)",26860315,Nr.240,camp_site
"POINT (20.0275 53.903611)",26860318,Nr.247,camp_site
"POINT (16.788056 52.446944)",26860319,Nr.30,camp_site
"POINT (17.799722 53.671111)",26860321,Nr.49,camp_site
"POINT (19.393333 54.153611)",26860325,Nr.61,camp_site
"POINT (19.091111 50.810833)",26860328,Nr.76,camp_site
"POINT (17.279444 50.477222)",26860329,Nyskiego,camp_site
"POINT (18.423056 54.7175)",26860332,Omega,camp_site
"POINT (18.083333 52.839444)",26860334,Pakosz,camp_site
"POINT (21.747778 54.146944)",26860336,Park Sonata,camp_site
"POINT (18.589167 50.136111)",26860337,row,camp_site
"POINT (21.358333 53.779444)",26860339,Piecki,camp_site
"POINT (16.008889 50.904444)",26860340,Pod Bukami,camp_site
"POINT (23.562222 52.053333)",26860342,Pod Dębami,camp_site
"POINT (19.968889 49.283056)",26860344,Pod Krokwia,camp_site
"POINT (18.138056 52.4975)",26860346,Pomerania,camp_site
"POINT (15.293889 52.326111)",26860348,Promyk,camp_site
"POINT (18.5875598 54.4306331)",26860349,Przy Plaży,camp_site
"POINT (19.047222 49.721667)",26860354,Skalite,camp_site
"POINT (15.664444 50.865556)",26860356,Sloneczna,camp_site
"POINT (19.8805637 50.0477823)",26860357,Smok,camp_site
"POINT (18.117222 54.319722)",26860359,Tamowa,camp_site
"POINT (16.505833 54.4825)",26860361,Werner,camp_site
"POINT (21.1473927 52.1779738)",26860364,Wok,camp_site
"POINT (17.0913939 51.1172233)",26860365,Wroclaw,camp_site
"POINT (20.9720717 52.0925375)",26909482,,traffic_signals
"POINT (21.0183116 52.1112704)",26909492,,traffic_signals
"POINT (21.0186769 52.1112704)",26909494,,traffic_signals
"POINT (21.024122 52.0684984)",26909943,,traffic_signals
"POINT (21.0195713 52.1733463)",26966289,,crossing
"POINT (17.1512268 52.3104614)",27163990,PPO Nagradowice,toll_booth
"POINT (19.9223542 52.1052135)",27166004,,traffic_signals
"POINT (19.9318492 52.1197878)",27166018,,traffic_signals
"POINT (21.1614193 52.2257831)",27166874,,traffic_signals
"POINT (21.1271671 52.2340919)",27166898,,traffic_signals
"POINT (21.1200787 52.237128)",27166906,,traffic_signals
"POINT (20.9812472 52.2161868)",27167042,,traffic_signals
"POINT (20.9809196 52.2162985)",27167044,,traffic_signals
"POINT (20.97722 52.2175443)",27167053,,traffic_signals
"POINT (20.9732488 52.2188568)",27167059,,traffic_signals
"POINT (20.9362879 52.201029)",27167095,,traffic_signals
"POINT (20.9365587 52.2012244)",27167097,,traffic_signals
"POINT (20.9360868 52.2014322)",27167099,,traffic_signals
"POINT (20.9357225 52.2011774)",27167101,,traffic_signals
"POINT (20.9366107 52.201035)",27167139,,crossing
"POINT (20.9608023 52.2159378)",27167149,,traffic_signals
"POINT (20.9602615 52.2168055)",27167151,,traffic_signals
"POINT (20.9516641 52.2274512)",27167162,,traffic_signals
"POINT (20.9684353 52.2138875)",27167165,,traffic_signals
"POINT (20.9162459 52.2199721)",27167184,,traffic_signals
"POINT (20.928286 52.1959037)",27167561,,traffic_signals
"POINT (20.9279107 52.1959512)",27167567,,traffic_signals
"POINT (20.927747 52.1958127)",27167571,,traffic_signals
"POINT (20.9581148 52.1904416)",27167604,,traffic_signals
"POINT (20.9578649 52.1901395)",27167608,,traffic_signals
"POINT (20.9583933 52.1899745)",27167611,,traffic_signals
"POINT (20.9586594 52.1902671)",27167612,,traffic_signals
"POINT (20.9637422 52.1885152)",27167635,,traffic_signals
"POINT (20.9544297 52.1857504)",27167664,,traffic_signals
"POINT (20.947486 52.1792773)",27167714,,traffic_signals
"POINT (20.8477952 51.1142957)",27250924,,speed_camera
"POINT (20.8691568 51.1117564)",27250945,,traffic_signals
"POINT (20.8674209 51.1112725)",27250947,,traffic_signals
"POINT (20.8615526 51.1165933)",27250953,,traffic_signals
"POINT (20.8640939 51.1165417)",27250954,,traffic_signals
"POINT (14.8291385 52.3411614)",27261530,,level_crossing
"POINT (14.5739699 52.3483381)",27262901,,traffic_signals
"POINT (14.5611819 52.3531941)",27262987,,traffic_signals
"POINT (14.5624021 52.3562241)",27262989,,traffic_signals
"POINT (14.61099 52.3219298)",27264156,Świecko,motorway_junctio
"POINT (20.942136 52.1746515)",27282274,,traffic_signals
"POINT (20.9431634 52.1743187)",27282282,,traffic_signals
"POINT (20.9351051 52.1681441)",27282292,,crossing
"POINT (20.9353332 52.1680628)",27282296,,crossing
"POINT (20.9258545 52.1594294)",27282317,,crossing
"POINT (20.9260243 52.1593653)",27282331,,crossing
"POINT (20.8099004 52.0888057)",27282595,,crossing
"POINT (20.8101167 52.0887456)",27282603,,crossing
"POINT (20.7862633 52.0784526)",27282637,,crossing
"POINT (20.786161 52.0785669)",27282644,,crossing
"POINT (16.9201162 52.4359985)",27308450,Aleje Solidarności,halt
"POINT (16.9132206 52.4099221)",27308451,Most Teatralny,halt
"POINT (16.8396962 52.3850672)",27308457,Wieruszowska,halt
"POINT (16.8827503 52.4007164)",27308462,Ostroroga,halt
"POINT (16.9135762 52.4107998)",27308463,Most Teatralny,halt
"POINT (16.8346426 52.3833244)",27308470,Junikowo,halt
"POINT (16.8883722 52.4024026)",27308475,Rondo Jana Nowaka-Jeziorańskiego,halt
"POINT (16.8899429 52.4028058)",27308481,Rondo Jana Nowaka-Jeziorańskiego,halt
"POINT (16.8872306 52.3842121)",27308487,Sielska,halt
"POINT (16.8912732 52.387417)",27308488,Krauthofera,halt
"POINT (16.8868993 52.392787)",27308490,Arciszewskiego,halt
"POINT (16.8673181 52.3967744)",27308498,Kasztelanów,halt
"POINT (16.9195778 52.4507392)",27308499,Kurpińskiego,halt
"POINT (16.8444378 52.3866732)",27308500,Junikowska,halt
"POINT (16.9168398 52.463872)",27308502,Osiedle Jana III Sobieskiego,halt
"POINT (16.9170373 52.4603769)",27308503,Szymanowskiego,halt
"POINT (16.9126953 52.4086427)",27308506,Rondo Kaponiera,halt
"POINT (16.9177496 52.4638197)",27308508,Osiedle Jana III Sobieskiego,halt
"POINT (16.8360711 52.3838416)",27308510,Junikowo Cmentarz,halt
"POINT (16.8579556 52.3922252)",27308515,Babimojska,halt
"POINT (16.9110231 52.4039438)",27308519,Most Dworcowy,halt
"POINT (16.9114754 52.4065579)",27308524,Bałtyk,tram_stop
"POINT (16.8883155 52.397215)",27308527,Arena,halt
"POINT (16.8994546 52.4053382)",27308528,Matejki,halt
"POINT (16.8526969 52.3894446)",27308530,Jeleniogórska,halt
"POINT (16.8758868 52.3989093)",27308533,Grochowska,halt
"POINT (16.9194147 52.4271625)",27308537,Słowiańska,halt
"POINT (16.8945953 52.3899694)",27308540,Głogowska/Hetmańska,halt
"POINT (16.919964 52.4426567)",27308542,Lechicka/Poznań Plaza,halt
"POINT (21.0813666 52.0431467)",27488877,,traffic_signals
"POINT (21.0699967 52.0778634)",27583162,,crossing
"POINT (21.0239219 52.0812917)",27584918,,traffic_signals
"POINT (21.0236396 52.0812319)",27584919,,traffic_signals
"POINT (21.0389978 52.2335942)",28396133,,traffic_signals
"POINT (21.0288502 52.0738744)",28411391,,parking
"POINT (18.6623331 50.2886874)",28897999,,traffic_signals
"POINT (18.6679353 50.2897081)",29015376,,traffic_signals
"POINT (18.6587475 50.2879463)",29017181,,traffic_signals
"POINT (18.6620781 50.2888863)",29017183,,traffic_signals
"POINT (18.6656972 50.2897326)",29017187,,traffic_signals
"POINT (18.6655976 50.2891772)",29017189,,traffic_signals
"POINT (18.667874 50.2898523)",29017195,,traffic_signals
"POINT (18.6737553 50.2926542)",29018448,,traffic_signals
"POINT (18.6586994 50.2908938)",29018916,,traffic_signals
"POINT (18.6791332 50.2968518)",29076109,,traffic_signals
"POINT (18.6834958 50.295282)",29091111,,traffic_signals
"POINT (18.6939334 50.2972305)",29091121,,traffic_signals
"POINT (18.6714032 50.2944735)",29103943,,traffic_signals
"POINT (18.6693698 50.2958481)",29104023,,traffic_signals
"POINT (18.6766969 50.2978938)",29104302,,traffic_signals
"POINT (18.6757078 50.2996662)",29111228,,traffic_signals
"POINT (21.0511823 52.1976696)",29169080,,traffic_signals
"POINT (21.0464925 52.1903572)",29169088,,traffic_signals
"POINT (21.0466395 52.190604)",29169145,,traffic_signals
"POINT (20.8574135 51.1174614)",29169596,,traffic_signals
"POINT (15.7357971 50.7738012)",29265359,,hotel
"POINT (15.72402 50.7773028)",29265389,Wang,place_of_worship
"POINT (15.6408562 50.912271)",29265558,,bus_stop
"POINT (15.624401 50.9167136)",29265564,,bus_stop
"POINT (15.6114254 50.9234085)",29265569,,bus_stop
"POINT (15.5732888 50.9564364)",29265581,,bus_stop
"POINT (15.4409914 51.0134136)",29265635,,bus_stop
"POINT (15.4244459 51.0265342)",29265642,,bus_stop
"POINT (15.4224514 51.0288361)",29265643,,bus_stop
"POINT (15.3556439 51.0761637)",29265671,,bus_stop
"POINT (15.33464 51.0813622)",29265675,,bus_stop
"POINT (15.3320358 51.0825092)",29265676,Olszyna Dolna,bus_stop
"POINT (15.3093753 51.0995999)",29265687,,bus_stop
"POINT (15.2859088 51.1277078)",29265706,,bus_stop
"POINT (15.1611444 51.151964)",29265728,,bus_stop
"POINT (15.0986751 51.1554139)",29265743,,bus_stop
"POINT (15.7802032 50.7828566)",29265785,Western City,theme_park
"POINT (21.0171304 52.1891245)",29273145,,traffic_signals
"POINT (21.0218126 52.1897177)",29273146,,traffic_signals
"POINT (21.0240964 52.1946751)",29273148,,traffic_signals
"POINT (21.0243638 52.1946991)",29273149,,traffic_signals
"POINT (21.0242371 52.1972313)",29273152,,traffic_signals
"POINT (21.0169053 52.1891078)",29273158,,traffic_signals
"POINT (21.02434 52.1898799)",29274122,,traffic_signals
"POINT (21.0244431 52.1863328)",29274123,,traffic_signals
"POINT (21.0217904 52.1811956)",29274138,,traffic_signals
"POINT (21.0214091 52.1803852)",29274139,,traffic_signals
"POINT (18.6508669 50.2961103)",29403145,,traffic_signals
"POINT (18.6543666 50.298463)",29403276,,traffic_signals
"POINT (18.6593445 50.3015407)",29403278,,traffic_signals
"POINT (18.6816275 50.2999046)",29416445,,traffic_signals
"POINT (18.6819044 50.3032024)",29416523,,traffic_signals
"POINT (19.0564448 50.2267402)",29574038,Giszowiec Karolinki,bus_stop
"POINT (19.0563418 50.2272094)",29574039,,traffic_signals
"POINT (19.4993047 51.7365909)",29780714,Kossaka,tram_stop
"POINT (19.4938495 51.7371127)",29780715,Tatrzanska,tram_stop
"POINT (19.4896487 51.7374903)",29780716,Śmigłego,tram_stop
"POINT (19.4896877 51.7472646)",29780723,Przybyszewskiego,tram_stop
"POINT (19.4893219 51.7514319)",29780726,Milionowa,tram_stop
"POINT (19.4879839 51.7581557)",29780730,,tram_stop
"POINT (19.4854733 51.7610334)",29780733,,tram_stop
"POINT (19.4801707 51.7611331)",29780736,Przędzalniana,tram_stop
"POINT (19.4735017 51.7607506)",29780738,Targowa,tram_stop
"POINT (19.4687123 51.7603468)",29780739,Kilińskiego,tram_stop
"POINT (19.4892604 51.7434995)",29780741,Zbaraska,tram_stop
"POINT (19.4533508 51.7708046)",29781389,,tram_stop
"POINT (19.4545144 51.7653681)",29781391,,tram_stop
"POINT (19.4558397 51.759205)",29781392,,tram_stop
"POINT (19.456595 51.7557516)",29781393,,tram_stop
"POINT (19.4593262 51.7559448)",29781394,,tram_stop
"POINT (19.4607259 51.7497016)",29781395,,tram_stop
"POINT (19.4613888 51.7466227)",29781396,,tram_stop
"POINT (19.4621696 51.7431313)",29781397,,tram_stop
"POINT (19.4628336 51.7399251)",29781398,Plac Niepodległości,tram_stop
"POINT (19.4681251 51.738608)",29781407,,tram_stop
"POINT (19.4767887 51.7387631)",29781414,,tram_stop
"POINT (19.4546969 51.7767176)",29782174,Tadeusza Kościuszki,monument
"POINT (19.4699652 51.7729752)",29828917,Teatr Wielki,theatre
"POINT (19.4770382 51.7724972)",29828919,,tram_stop
"POINT (19.4847679 51.7621406)",29828924,,tram_stop
"POINT (19.4512763 51.7801825)",29829137,,tram_stop
"POINT (19.4296806 51.7579866)",29829348,Łódź Kaliska,station
"POINT (19.407014 51.7936267)",29829365,Łódź Żabieniec,station
"POINT (19.4258334 51.8495584)",29829390,Zgierz,station
"POINT (19.3841866 51.8690459)",29829423,Zgierz-północ,station
"POINT (19.3396821 51.8647545)",29829444,Jedlicze Łódzkie,station
"POINT (19.3110412 51.8874579)",29830245,Grotniki,station
"POINT (19.2671965 51.9239738)",29830311,Chociszew,station
"POINT (19.2659174 51.9722367)",29830362,Ozorków,station
"POINT (19.2221353 52.0188004)",29830399,Sierpow,station
"POINT (19.1933063 52.0491086)",29830409,Łęczyca,station
"POINT (19.2199214 52.1127652)",29830442,Gawrony,station
"POINT (19.2763989 52.156893)",29830460,Witonia,station
"POINT (19.3492294 52.2269433)",29830512,Kutno,station
"POINT (19.2283524 52.2377225)",29830557,Nowe Kutnowskie,station
"POINT (19.1674664 52.2355103)",29830566,Krezewie (??),station
"POINT (19.0262762 52.2304786)",29830586,Turzynów,station
"POINT (18.8912309 52.2273844)",29830603,Kłodawa,station
"POINT (18.7679118 52.2159909)",29830619,Barłogi,station
"POINT (18.6319894 52.211107)",29830649,Koło,station
"POINT (18.5647165 52.2443676)",29830665,Budki Nowe,station
"POINT (18.4755456 52.2451405)",29830683,Kramsk,station
"POINT (18.2523065 52.2312738)",29830753,Konin,station
"POINT (18.2216732 52.2368375)",29831728,Konin Zachód,station
"POINT (18.1521534 52.2496191)",29831807,Kawnice,station
"POINT (18.0920492 52.2575548)",29831828,Spławie,station
"POINT (18.0109922 52.2699613)",29831879,Cienin Kościelny,station
"POINT (17.9673162 52.2724385)",29831926,Cienin,station
