WKT,osm_id,name,type
"LINESTRING (16.2697174 50.752283,16.2697243 50.7517431,16.2704799 50.7503818,16.2724997 50.7490785,16.2748741 50.7482675,16.2764129 50.7481914,16.278232 50.7484207,16.2796807 50.7491364,16.2815689 50.7497881,16.2835826 50.7505952,16.2849276 50.7509067,16.2863755 50.7506966,16.2884354 50.7502225,16.2900605 50.7493972,16.2908499 50.7480178,16.2907183 50.7463234,16.2898889 50.7453355,16.2888167 50.7446407,16.2877024 50.7439591,16.2859006 50.743213,16.2847399 50.7429627,16.2834572 50.7430537,16.281054 50.7434882,16.2786045 50.7439055,16.2765908 50.7442486,16.2724709 50.7449003,16.2692093 50.745552,16.2662911 50.7460951,16.2648809 50.7464927,16.2639793 50.7468119,16.2620108 50.7476808,16.2601113 50.7483761,16.257708 50.7485029,16.2559914 50.7480503,16.2541031 50.7471813,16.2520432 50.7459865,16.2492966 50.7449003,16.2468933 50.7440313,16.2430439 50.743518,16.2401362 50.7437419,16.238014 50.7446503,16.2372803 50.7454434,16.2363644 50.7469804,16.2353862 50.7485308,16.2342528 50.7494719,16.2323717 50.7501071,16.2314883 50.7503238,16.2305459 50.7503838,16.2300418 50.7504307,16.2293028 50.7503371,16.2287538 50.7502436,16.2270856 50.7497226,16.2257765 50.7492884,16.2244039 50.7488609,16.2230842 50.7483999,16.2227569 50.7482663,16.2216997 50.7475913,16.2208978 50.7467611,16.220096 50.7461614,16.2191483 50.7457232,16.2181642 50.7454695,16.2170707 50.745285,16.2163053 50.7452389,16.2153576 50.745285,16.2142642 50.7454465,16.2118586 50.7464151,16.2075212 50.7481217,16.2020539 50.7502895,16.1989557 50.7514656,16.1922492 50.7539792,16.1894062 50.7550399,16.1883492 50.7553396,16.1873286 50.7556163,16.182481 50.7564003,16.1799296 50.757069,16.1778155 50.757876,16.1742071 50.7594208,16.1684847 50.7618417,16.1665529 50.7626717,16.1627622 50.764493,16.1614865 50.7651155,16.1599557 50.7662221,16.15868 50.7673516,16.1561286 50.7703023,16.1551809 50.7713857,16.153723 50.7723538,16.151937 50.7732528)",4235352,,rail
"LINESTRING (16.9121165 52.4066252,16.9122881 52.407175,16.9124669 52.4078573)",4447055,5 - 8 - 10 - 11 - 12 - 13 - 14 - 15 - 18,tram
"LINESTRING (16.8891832 52.4026599,16.88887 52.4025605)",4447056,1 - 6 - 13 - 15,tram
"LINESTRING (16.8891832 52.4026599,16.8899429 52.4028058,16.8922088 52.4033243,16.8934437 52.40362,16.8994546 52.4053382,16.9010839 52.4057642,16.9032998 52.4063436,16.9040208 52.4064745,16.9075878 52.4067746,16.9081285 52.4067798,16.9089005 52.4067307,16.9098875 52.4066102,16.9103853 52.4065683,16.9114754 52.4065579,16.911848 52.4065467)",4447057,6 - 13 - 15,tram
"LINESTRING (16.9150205 52.3847972,16.9147247 52.3849409,16.9141909 52.3852003,16.9134013 52.3855618,16.9129135 52.3857453,16.9125359 52.3858553,16.9118664 52.3860177,16.9108021 52.3861435,16.9098665 52.3861487,16.9086205 52.386138,16.907663 52.3861884)",4447058,1 - 7 - 18,tram
"LINESTRING (16.9121165 52.4066252,16.9120392 52.4064105)",4447059,5 - 8 - 10 - 11 - 12 - 14 - 18,tram
"LINESTRING (16.9168368 52.4623108,16.9170373 52.4603769,16.9173302 52.4626075,16.9176702 52.4635903,16.9177496 52.4638197,16.9178698 52.464327,16.9178011 52.4644368,16.9175827 52.4645365,16.9172175 52.4645675,16.9170029 52.4645152,16.9168827 52.4643845,16.9168398 52.463872,16.916829 52.4636532,16.9168067 52.4632037,16.9168368 52.4623108)",4447060,12 - 14 - 15 - 16 - 26 - N21,tram
"LINESTRING (16.8941141 52.3901366,16.8931742 52.3893387,16.8922282 52.3883824,16.8912732 52.387417,16.8910759 52.3872421,16.8892943 52.3856986,16.8872306 52.3842121,16.8855835 52.3833775,16.8835915 52.3823704)",4447061,5 - 8 - 14,tram
"LINESTRING (19.4993047 51.7365909,19.4938495 51.7371127,19.4896487 51.7374903,19.4889782 51.7375253)",4685151,,tram
"LINESTRING (19.4889782 51.7375253,19.488905 51.7399015,19.4890314 51.7414548,19.489212 51.7430021,19.4892604 51.7434995,19.4894649 51.7456029,19.4895974 51.7465542,19.4896877 51.7472646,19.4897088 51.7475907,19.4896576 51.747981,19.4892722 51.7492453,19.489279 51.7495438,19.489287 51.749894,19.4893219 51.7514319,19.4892995 51.75217,19.4892181 51.7548564,19.4892 51.7556812)",4685154,,tram
